,Location,Minute Delay
167,DUNDAS WEST STATION,12.0
168,ST CLAIR WEST STATION,15.0
169,DUNDAS WEST STATION,12.0
170,SPADINA AND LAKE SHORE,18.0
171,KING AND SHAW,13.0
172,LESLIE AND COMMISSIONE,0.0
173,SPADINA AND QUEEN'S QU,0.0
174,RONCESVALLES AND QUEEN,14.0
175,RONCESVALLES AND QUEEN,14.0
176,KING AND JEFFERSON,10.0
177,MAIN STREET STATION,10.0
178,GERRARD AND PARLIAMENT,10.0
179,DUNDAS WEST STATION,9.0
180,KINGSTON AND WOODFIELD,18.0
181,SPADINA AND QUEEN'S QU,20.0
182,KING AND BATHURST,16.0
183,PARLIAMENT AND GERRARD,10.0
184,SPADINA AND QUEEN'S QU,20.0
185,SPADINA AND QUEEN'S QU,20.0
186,QUEEN AND WOODFIELD,12.0
187,SPADINA AND QUEEN'S QU,20.0
188,SPADINA AND QUEEN'S QU,20.0
189,QUEEN AND RONCESVALLES,12.0
190,QUEEN AND RONCESVALLES,12.0
191,SPADINA AND QUEEN'S QU,20.0
192,SPADINA AND QUEEN'S QU,20.0
193,DUNDAS WEST STATION,12.0
194,DUNDAS AND BROADVIEW,15.0
195,DUNDAS AND BROADVIEW,15.0
196,QUEEN AND RONCESVALLES,12.0
197,SPADINA AND QUEEN'S QU,20.0
198,SPADINA AND QUEEN'S QU,20.0
199,SPADINA AND QUEEN'S QU,20.0
200,BROADVIEW STATION,16.0
201,SPADINA AND QUEEN'S QU,20.0
202,QUEEN AND YONGE,12.0
203,SPADINA AND QUEEN'S QU,20.0
204,PARLIAMENT AND DUNDAS,12.0
205,EXHIBITION LOOP,16.0
206,BROADVIEW AND GERRARD,10.0
207,QUEEN AND DOVERCOURT,12.0
208,ST CLAIR UPPER STATION,14.0
209,MAIN STREET STATION,12.0
210,FERRY DOCKS,16.0
211,QUEEN AND BEATY,16.0
212,QUEEN AND GLEN MANOR,16.0
213,KING AND BATHURST,0.0
214,WOODBINE LOOP,20.0
215,LANSDOWNE LOOP,12.0
216,CONNAUGHT AND QUEEN,60.0
217,KINGSTON LOOP,19.0
218,RUSSELL YARD,18.0
219,RONCESVALLES CARHOUSE,0.0
220,QUEEN AND SHAW,12.0
221,RONCESVALLES AND QUEEN,14.0
222,RONCESVALLES AND QUEEN,14.0
