,Location,Minute Delay
1827,EXHIBITION LOOP,12.0
1828,QUEEN AND JARVIS,12.0
1829,DUNDAS AND BATHURST,12.0
1830,DUNDAS AND HOWARD PARK,12.0
1831,DUFFERIN AND LIBERTY,10.0
1832,KING AND DUFFERIN,16.0
1833,COMMISSIONERS S OF LES,0.0
1834,QUEENS QUAY AND SPADIN,18.0
1835,NEVILLE PARK LOOP,43.0
1836,2992 LAKE SHORE BLVD W,21.0
1837,KING AND DUFFERIN,10.0
1838,QUEENSWAY AND RONCESVA,25.0
1839,GERRARD AND PARLIAMENT,8.0
1840,GARRARD AND PARLIAMENT,10.0
1841,KING AND SHAW,59.0
1842,MAIN STATION,10.0
1843,PARKLAWN AND LAKESHORE,15.0
1844,QUEEN AND GREENWOOD,15.0
1845,SPADINA AND QUEEN'S QU,14.0
1846,THE QUEENSWAY AND RONC,15.0
1847,QUEEN AND RONCESVALLES,14.0
1848,SPADINA AND QUEEN'S QU,14.0
1849,QUEEN AND RONCESVALLES,14.0
1850,KING AND BATHURST,14.0
1851,KING AND SHAW,42.0
1852,SPADINA AND QUEEN'S QU,14.0
1853,CARLTON AND PARLIAMENT,17.0
1854,QUEEN AND CONNAUGHT,14.0
1855,SPADINA AND KING,8.0
1856,QUEEN AND BATHURST,14.0
1857,QUEEN AND RONCESVALLES,14.0
1858,SPADINA AND KING,8.0
1859,MAIN STREET STATION,9.0
1860,QUEEN AND CONNAUGHT,14.0
1861,DISTILLERY LOOP,14.0
1862,BROADVIEW STATION,16.0
1863,MAIN STREET STATION,10.0
1864,MAIN STREET STATION,10.0
1865,MAIN STREET STATION,10.0
1866,MAIN STREET STATION,10.0
1867,MAIN STREET STATION,10.0
1868,MAIN STREET STATION,10.0
1869,ST CLAIR AND OLD WESTO,21.0
1870,UNION STATION,16.0
1871,RUSSELL YARD,14.0
1872,LONG BRANCH LOOP,0.0
1873,QUEEN AND JARVIS,16.0
1874,LONGBRANCH LOOP,16.0
1875,LESLIE AND COMMISSIONE,0.0
1876,FLEEP LOOP,22.0
1877,FLEET LOOP,20.0
1878,1960 DUNDAS ST W,15.0
1879,MAIN AND GERRARD,18.0
1880,1291 GERRARD ST E,18.0
1881,GERRARD AND NORWOOD,14.0
1882,GERRARD AND BROADVIEW,14.0
1883,QUEEN AND RONCESVALLES,16.0
1884,PARLIAMENT AND DUNDAS,14.0
1885,QUEEN AND RONCESVALLES,16.0
1886,FLEET LOOP,16.0
1887,LESLIE BARNS,0.0
1888,GERRARD AND MONROE,14.0
1889,GERRARD AND JONES,12.0
1890,4 DORVAL RD,14.0
1891,FLEET LOOP,14.0
1892,QUEEN AND CONNAUGHT,16.0
1893,SPADINA AND QUEEN'S QU,8.0
1894,LANSDOWNE LOOP,12.0
1895,SPADINA AND QUEEN'S QU,8.0
1896,SPADINA AND QUEEN'S QU,8.0
1897,SPADINA AND QUEEN'S QU,8.0
1898,SPADINA AND QUEEN'S QU,8.0
1899,SPADINA AND QUEEN'S QU,8.0
1900,SPADINA AND QUEEN'S QU,8.0
1901,SPADINA AND QUEEN'S QU,8.0
1902,SPADINA AND QUEEN'S QU,8.0
1903,SPADINA AND QUEEN'S QU,8.0
1904,SPADINA AND QUEEN'S QU,8.0
1905,GERRARD AND SUMACH,10.0
1906,SPADINA AND QUEEN'S QU,8.0
1907,SPADINA AND QUEEN'S QU,8.0
1908,SPADINA AND QUEEN'S QU,8.0
1909,SPADINA AND QUEEN'S QU,8.0
1910,SPADINA AND QUEEN'S QU,8.0
1911,DUNDAS AND MANNING,14.0
1912,QUEEN AND BATHURST,6.0
1913,CARLTON AND PARLIAMENT,10.0
1914,QUEEN AND RONCESVALLES,12.0
1915,KING AND CHURCH,8.0
1916,SPADINA AND QUEEN'S QU,8.0
1917,MAIN STREET STATION,10.0
1918,QUEEN AND BROCK,12.0
1919,HOWARD PARK AND RONCES,16.0
1920,QUEEN AND SACKVILLE,20.0
1921,SPADINA AND QUEEN,8.0
1922,ST CLAIR AND DUFFERIN,18.0
1923,SPADINA STATION,8.0
1924,SPADINA STATION,0.0
1925,RUSSELL YARD,20.0
1926,QUEEN AND PARLIAMENT,12.0
1927,LANSDOWNE LOOP,16.0
1928,RUSSELL TRAILER TRACK,16.0
1929,DUFFERIN LOOP,18.0
1930,DUFFERIN LOOP,18.0
1931,SPADINA BD STATION,0.0
1932,DUNDAS AND ONTARIO,20.0
1933,DUNDAS WEST STATION,18.0
1934,FLEET AND BATHURST,19.0
1935,BROADVIEW STATION,20.0
1936,CNE LOOP,0.0
1937,QUEEN AND DVP BRIDGE,28.0
1938,QUEEN AND RIVER,28.0
1939,SPADINA STATION,33.0
1940,CHARLOTTE LOOP,30.0
1941,QUEEN AND CHURCH,31.0
1942,DUNDAS WEST STATION,49.0
1943,QUEEN AND PARLIMENT,0.0
1944,LONGBRANCH LOOP,17.0
1945,UNION STATION- STREETC,19.0
1946,QUEENS QUAY AND LOWER,30.0
1947,FLEET LOOP,16.0
1948,QUEEN AND WAVERLY,19.0
1949,QUEEN AND RONCESVALLES,16.0
1950,LANSDOWNE LOOP @ 1050,19.0
1951,GERRARD AND WOODBINE,10.0
1952,SPADINA AND QUEENS QUA,14.0
1953,SPADINA AND QUEENS QUA,14.0
1954,SPADINA AND QUEENS QUA,14.0
1955,GERRARD AND PARLIAMENT,10.0
1956,PARLIAMENT AND GERRARD,10.0
1957,MAIN STREET STATION,10.0
1958,SPADINA AND QUEENS QUA,14.0
1959,GERRARD AMD PARELIAMEN,10.0
1960,MAIN STATION,10.0
1961,SPADINA AND QUEENS QUA,14.0
1962,SPADINA STATION,14.0
1963,MAIN STREET STATION,10.0
1964,PARLIAMENT AND GERRARD,10.0
1965,COLLEGE AND RUSHOLME,18.0
1966,QUEEN AND PARLIAMENT,16.0
1967,QUEEN AND RIVER,16.0
1968,DUNDAS WEST STATION,14.0
1969,DUNDAS AND ST MATTHIAS,30.0
1970,SPADINA AND QUEENS QUA,14.0
1971,SPADINA AND QUEEN'S QU,14.0
1972,QUEEN AND GLADSTONE,16.0
1973,HUMBER LOOP,16.0
1974,SPADINA AND QUEENS QUA,14.0
1975,MAIN STREET STATION,10.0
1976,SPADINA AND QUEENS QUA,14.0
1977,DUNDAS AND MCCAUL,15.0
1978,SPADINA AND QUEENS QUA,14.0
1979,MAIN STREET STTION,10.0
1980,SPADINA AND QUEENS QUA,14.0
1981,SPADINA AND QUEENS QUA,14.0
1982,MCCAUL AND STEPHANIE,19.0
1983,SPADINA AND QUEENS QUA,14.0
1984,QUEEN AND JARVIS,0.0
1985,CNE LOOP,19.0
1986,PARLIAMENT AND DUNDAS,14.0
1987,PARLIAMENT AND QUEEN,20.0
1988,FLEET LOOP,20.0
1989,DUNDAS WEST STATION,18.0
1990,DUNDAS AND CHURCH,24.0
1991,CONNAUGHT AND QUEEN,0.0
1992,RUSSELL TRAILER TRACK,29.0
1993,LONG BRANCH LOOP,0.0
1994,NEVILLE LOOP,32.0
1995,SPADINA AND QUEEN,17.0
1996,DUNDAS AND SHAW,16.0
1997,COLLEGE AND DUFFERIN,100.0
1998,QUEEN AND SPADINA,14.0
1999,QUEEN AND COXWELL,20.0
2000,SPADINA AND QUEENS QUA,14.0
2001,SPADINA AND QUEENS QUA,14.0
2002,SPADINA AND QUEENS QUA,14.0
2003,QUEENS QUAY AND LOWER,14.0
2004,DUNDAS AND LANSDOWNE,14.0
2005,SPADINA AND QUEENS QUA,14.0
2006,KING AND PORTLAND,33.0
2007,QUEEN AND O'HARA,14.0
2008,FLEET LOOP,20.0
2009,LAKE SHORE AND SUPERIO,14.0
2010,DUNDAS AND CHURCH,14.0
2011,SPADINA STATION,15.0
2012,QUEEN AND BROADVIEW,16.0
2013,PARLIAMENT AND KING,8.0
2014,MCCAUL LOOP,18.0
2015,CHARLOTTE LOOP,16.0
2016,COLLEGE AND LANSDOWNE,12.0
2017,COLLEGE AND MCCAUL,14.0
2018,LAKE SHORE AND WINDERM,7.0
2019,COLLEGE AND OSSINGTON,15.0
2020,SPADINA AND COLLEGE,17.0
2021,KING AND BATHURST,12.0
2022,SPADINA STATION,12.0
2023,DUFFERIN LOOP,0.0
2024,EXHIBITION LOOP,12.0
2025,SPRINGHURST LOOP,12.0
2026,88 PALACE PIER CT,16.0
2027,EXHIBITION LOOP,14.0
2028,MAIN STREET STATION,10.0
2029,DUNDAS WEST STATION,16.0
2030,MAIN STREET STATION,10.0
2031,DUNDAS AND LANSDOWNE,16.0
2032,MCCAUL LOOP,43.0
2033,RONCESVALLES AND QUEEN,12.0
2034,MAIN STREET STATION,10.0
2035,GERRARD AND BROADVIEW,22.0
2036,BROADVIEW AND GERRARD,22.0
2037,QUEEN AND RONVESVALLES,14.0
2038,LOWER SPADINA AND QUEE,19.0
2039,GERRARD AND PARLIAMENT,9.0
2040,LONG BRANCH LOOP,14.0
2041,LONG BRANCH LOOP,14.0
2042,DUNDAS AND BLOOR,8.0
2043,COLLEGE AND LANSDOWNE,12.0
2044,BROADVIEW AND DUNDAS,12.0
2045,BATHURST AND KING,9.0
2046,COMMISIONER AND LESLIE,0.0
2047,SPADINA AND QUEEN,20.0
2048,LAKESHORE AND THIRTY S,14.0
2049,KING AND PARLIAMENT,12.0
2050,HUMBER LOOP,12.0
2051,ST CLAIR AND KEELE,52.0
2052,QUEEN AND OSSINGTON,16.0
2053,MAIN STREET STATION,10.0
2054,MAIN STREET STATION,10.0
2055,MAIN STREET STATION,10.0
2056,BATHURST AND BARTON,14.0
2057,DUNDAS WEST STATION,16.0
2058,QUEENS QUAY AD LOWER S,14.0
2059,QUEENS QUAY AND LOWER,14.0
2060,QUEENS QUAY AND LOWER,14.0
2061,QUEENS QUAY AND LOWER,14.0
2062,LONG BRANCH LOOP,14.0
2063,QUEEN AND JARVIS,14.0
2064,QUEENS QUAY AND LOWER,14.0
2065,QUEEN AND DUFFERIN,14.0
2066,KING AND SHAW,8.0
2067,GERRARD AND PARLIAMENT,12.0
2068,QUEEN AND JARVIS,0.0
2069,CHARLOTTE LOOP,16.0
2070,LONG BRANCH LOOP,18.0
2071,LAKESHORE AND 40TH,18.0
2072,QUEENS QUAY LOOP,18.0
2073,THE QUEENSWAY AND GLEN,18.0
2074,BROADVIEW AND GERRARD,14.0
2075,MAIN STREET STATION,10.0
2076,`MAIN STREET STATIN,10.0
2077,MAIN STATION,10.0
2078,QUEEN AND SORAUREN,106.0
2079,QUEENS QUAY AND LOWER,14.0
2080,ST CLAIR AND OAKWOOD,66.0
2081,QUEENS QUAY AND LOWER,14.0
2082,QUEEM AND JARVIS,14.0
2083,DISTILLERY LOOP,14.0
2084,BROADVIEW STATION,0.0
2085,BATHURST AND COLLEGE,29.0
2086,KING AND YONGE,74.0
2087,KING AND CHURCH,74.0
2088,SPADINA AND N OF DUNDA,16.0
2089,DISTILLERY LOOP,10.0
2090,LAKE SHORE AND THIRTY,0.0
2091,KING AND SPADINA,10.0
2092,DUNDAS AND BAY,16.0
2093,QUEEN AND CONNAUGHT,2.0
2094,DUNDAS AND JARVIS,16.0
2095,QUEEN AND CONNAUGHT,14.0
2096,QUEEN AND CONNAUGHT,14.0
2097,LAKESHORE AND LONG BRA,16.0
2098,YONGE AND COLLEGE,23.0
2099,QUEEN'S QUAY AND SPADI,14.0
2100,QUEENS QUAY AND LOWER,14.0
2101,DUNDAS WEST STATION,14.0
2102,MAIN STREET STATION,10.0
2103,KING AND JAMESON,9.0
2104,ST CLAIR STATION,12.0
2105,DUNDAS AND HOWARD PARK,14.0
2106,COLLEGE AND LANSDOWNE,16.0
2107,RUSSELL CARHOUSE,16.0
2108,COLLEGE AND ELIZABETH,16.0
2109,KING AND WILSON,9.0
2110,KING AND SPADINA,14.0
2111,DISTILLERY LOOP,14.0
2112,BROADVIEW STATION,14.0
2113,QUEEN AND STRACHAN,0.0
2114,GERRARD AND PARLIAMENT,50.0
2115,QUEEN AND PALIAMENT,25.0
2116,BROADVIEW STATION,11.0
2117,HIGH PARK LOOP,17.0
2118,QUEEN AND RIVER,20.0
2119,DUNDAS WEST STATION,21.0
2120,SPADINA AND HARBOUR,27.0
2121,PARLIAMENT AND GERRARD,28.0
2122,EXHIBITION LOOP,20.0
2123,SPADINA AND BREMNER,18.0
2124,HOWARD PARK AND RONCES,0.0
2125,FLEET LOOP,26.0
2126,7797 LITTLE YORK RD,18.0
2127,PARLIMENT AND GERRARD,36.0
2128,DUNDAS AND HOWARD PARK,23.0
2129,GERRARD AND ASHDALE,17.0
2130,366 COLLEGE ST,16.0
2131,MAIN AND DANFORTH,14.0
2132,473 GERRARD ST E,16.0
2133,DUNDAS WEST STATION,0.0
2134,564 COLLEGE ST,15.0
2135,LOWER SPADINA AND QUEE,14.0
2136,UNION STATION,14.0
2137,GERRARD AND PARLIAMENT,10.0
2138,MAIN STREET STATION,10.0
2139,LESLIE AND COMMISSIONE,10.0
2140,MAIN STREET SATION,10.0
2141,SPADINA AND QUEEN'S QU,16.0
2142,SPADINA AND QUEEN'S QU,16.0
2143,SPADINA AND QUEEN'S QU,16.0
2144,SPADINA AND QUEEN'S QU,16.0
2145,MAIN STREET STATION,10.0
2146,SPADINA AND QUEEN'S QU,16.0
2147,EXHIBITION LOOP,15.0
2148,SPADINA AND QUEEN'S QU,16.0
2149,SPADINA AND QUEEN'S QU,16.0
2150,SPADINA AND QUEEN'S QU,16.0
2151,DUNDAS AND BROADVIEW,14.0
2152,SPADINA AND QUEEN'S QU,16.0
2153,HIGH PARK LOOP,14.0
2154,SPADINA AND QUEEN'S QU,16.0
2155,DUNDAS AND HELEN,14.0
2156,QUEEN AND MCCAUL,26.0
2157,SPADINA AND QUEEN'S QU,14.0
2158,SPADINA AND QUEEN'S QU,14.0
2159,FLEET AND STRACHAN,15.0
2160,KING AND JAMESON,13.0
2161,NEVILLE PARK LOOP,39.0
2162,CNE LOOP,20.0
2163,KING AND JOE SHUSTER W,8.0
2164,SPADINA STATION,20.0
2165,BROADVIEW AND MILLBROO,20.0
2166,EDNA AND DUNDAS ST,18.0
2167,BATHURST STATION,19.0
2168,RONCESVALLES YARD,0.0
2169,UNION STATION,28.0
2170,KING AND SPENCER (W OF,16.0
2171,QUEEN AND RONCESVALLES,16.0
2172,MT DENNIS GARAGE,14.0
2173,FLEET LOOP,19.0
2174,FLEET LOOP,19.0
2175,LAKESHORE AND PARK LAW,16.0
2176,DUNDAS WEST STATION,12.0
2177,MALVERN GARAGE,10.0
2178,LONGBRANCH LOOP,13.0
2179,BATHURST AND KING,8.0
2180,CNE LOOP,8.0
2181,LANSDOWNE LOOP,14.0
2182,CNE LOOP,8.0
2183,CNE LOOP,8.0
2184,CNE LOOP,8.0
2185,CNE LOOP,8.0
2186,CNE LOOP,8.0
2187,CNE LOOP,8.0
2188,CNE LOOP,8.0
2189,FLEET LOOP,16.0
2190,CNE LOOP,0.0
2191,CNE LOOP,8.0
2192,CNE LOOP,8.0
2193,CNE LOOP,0.0
2194,CNE LOOP,10.0
2195,LAKE SHORE AND PARKLAW,19.0
2196,CNE LOOP,8.0
2197,CNE LOOP,8.0
2198,CNE LOOP,8.0
2199,CNE LOOP,8.0
2200,DUNDAS AND YONGE,15.0
2201,CNE LOOP,4.0
2202,MAIN STREET STATION,10.0
2203,BROADVIEW AND DUNDAS,61.0
2204,BROADVIEW AND DUNDAS,112.0
2205,GERRARD AND BROADVIEW,49.0
2206,MAIN STATION,16.0
2207,NEVILLE PARK,20.0
2208,LANSDOWNE LOOP (DUNDAS,20.0
2209,SPRINGHURST LOOP AND D,37.0
2210,DUNDAS WEST STATION,16.0
2211,BROADVIEW STATION,16.0
2212,DUNDAS WEST STATION,6.0
2213,GERRARD AND BROADVIEW,16.0
2214,DUNDAS AND SPADINA,23.0
2215,QUEENSWAY AND WINDEREM,96.0
2216,CNE LOOP,14.0
2217,GERRARD AND CARLAW,10.0
2218,CNE LOOP,14.0
2219,JARVIS AND RICHMOND,7.0
2220,CNE LOOP,14.0
2221,DUNDAS AND BAY,36.0
2222,QUEEN AND SHERBOURNE,15.0
2223,SPADINA AND WILCOX,14.0
2224,KING AND SUMACH,7.0
2225,EXHIBITION LOOP,12.0
2226,EXHIBITION LOOP,20.0
2227,EXHIBITION LOOP,23.0
2228,CHURCH AND DUNDAS,14.0
2229,QUEEN AND SHAW,40.0
2230,DUNDAS AND BROADVIEW,12.0
2231,HIGH PARK LOOP,12.0
2232,EXHIBIION LOOP,12.0
2233,DUFFERIN AND KING,10.0
2234,BROADVIEW STATION,18.0
2235,LONG BRANCH LOOP,0.0
2236,ST CLAIR AND BATHUST,59.0
2237,LESLIE BARNS,0.0
2238,QUEEN AND RONCESVALLES,12.0
2239,HUMBER LOOP- LAKESHORE,12.0
2240,QUEEN AND JARVIS,16.0
2241,MAIN STREET STATION,10.0
2242,MAIN STREET STATION,10.0
2243,MAIN STREET STATION,10.0
2244,MAIN STREET STATION,10.0
2245,MAIN STREET STATION,10.0
2246,MAIN STREET STATION,10.0
2247,MAIN STREET STATION,10.0
2248,HUMBER LOOP,8.0
2249,QUEEN'S QUAY AND SPADI,14.0
2250,QUEEN AND JAMESON,16.0
2251,QUEEN'S QUAY AND SPADI,14.0
2252,MAIN STREET STATION,10.0
2253,QUEEN AND RONCESVALLES,8.0
2254,MAIN STREET STATION,10.0
2255,DUNDAS WEST AND HOWARD,40.0
2256,DUNDAS AND HOWARD PARK,39.0
2257,QUEEN AND JAMESON,16.0
2258,LAKE SHORE AND FIFTH,16.0
2259,LOWER SPADINA AND QUEE,14.0
2260,COLLEGE AND MAJOR,14.0
2261,COLLEGE AND SPADINA,14.0
2262,SPADINA AND KING,8.0
2263,MAIN STREET STATION,12.0
2264,ST CLAIR WEST AND DUFF,22.0
2265,CHURCH AND GRANBY,12.0
2266,QUEEN AND DOVERCOURT,16.0
2267,QUEEN AND SILVER BIRCH,14.0
2268,CHURCH AND DUNDAS (NOR,12.0
2269,RUSSELL YARD,20.0
2270,LONGBRANCH LOOP,12.0
2271,NEVILLE PARK LOOP,20.0
2272,KING AND SHAW,15.0
2273,1018 QUEEN ST WEST,16.0
2274,QUEEN AND COXWELL,20.0
2275,MOUNT DENNIS GARAGE,16.0
2276,ST CLAIR AND BATHURST,30.0
2277,QUEEN AND BEVERLEY,18.0
2278,DUNDAS AND GRACE,16.0
2279,QUEEN AND SUMACH,13.0
2280,QUEENSWAY AND RONCESVA,16.0
2281,QUEEN AND HAMMERSMITH,80.0
2282,CNE LOOP,14.0
2283,QUEEN AND LESLIE,20.0
2284,LOWER SPADINA AND QUEE,14.0
2285,SPADINA AND QUEEN'S QU,14.0
2286,CNE LOOP,14.0
2287,KINGSTON ROAD AND SILV,55.0
2288,BROADVIEW STATION,14.0
2289,LONG BRANCH LOOP,0.0
2290,KING AND SHAW,14.0
2291,DUNDAS AND RIVER,18.0
2292,LONG BRANCH LOOP,14.0
2293,CARLTON AND PARLIAMENT,19.0
2294,ST CLAIR STATION,0.0
2295,BROADVIEW STATION,14.0
2296,ST CLAIR WEST STATION,22.0
2297,BATHUSRT AND DAVENPORT,18.0
2298,ST CLAIR AND TWEEDSMUI,16.0
2299,QUEEN AND JARVIS,12.0
2300,QUEEN AND WOODFIELD,14.0
2301,QUEEN AND BAY,16.0
2302,BATHURST AND FORT YORK,0.0
2303,QUEEN'S QUAY AND SPADI,14.0
2304,SPADINA AND QUEEN'S QU,14.0
2305,LOWER SPADINA AND QUEE,14.0
2306,PARLIAMENT AND GERRARD,16.0
2307,SPRINGHURST LOOP,8.0
2308,DUNDAS AND SHERBOURNE,14.0
2309,DUNDAS WEST STATION,8.0
2310,KING AND YORK,12.0
2311,BROADVIEW AND PARLIAME,14.0
2312,GERRARD AND ALTON,12.0
2313,ST CLAIR AND CHRISTIE,0.0
2314,RICHMOUND AND CHURCH,14.0
2315,QUEEN AND SOHO,14.0
2316,MAIN STREET STATION,12.0
2317,MAIN AND DANFORTH,12.0
2318,FLEET LOOP,20.0
2319,QUEEN AND JAMESON,14.0
2320,DUNDAS WEST STATION,13.0
2321,QUEEN AND JARVIS,16.0
2322,QUEEN AND ONTARIO,20.0
2323,SPADINA AND QUEENS QUA,16.0
2324,SPADINA STATION,18.0
2325,LAKESHORE AND 40TH STR,20.0
2326,LAKESHORE AND THIRTY N,20.0
2327,LAKESHORE AND THIRTY N,20.0
2328,LONGBRANCH LOOP,20.0
2329,DISTILLERY LOOP,20.0
2330,SPADINA AND KING,54.0
2331,LONG BRANCH LOOP,19.0
2332,QUEENS QUAY AND BATHUR,0.0
2333,KING AND BLUE JAYS WAY,16.0
2334,LOWER SPADINA AND QUEE,14.0
2335,SPADINA AND QUEEN'S QU,14.0
2336,ST CLAIR AND VAUGHAN,12.0
2337,GERRARD AND BROADVIEW,10.0
2338,LOWER SPADINA AND QUEE,14.0
2339,GERRARD AND BROADVIEW,10.0
2340,CARLTON AND PARLIAMENT,10.0
2341,GERRAD AND PARLIAMENT,10.0
2342,GERRARD AND ASHDALE,10.0
2343,BROADVIEW AND GERRARD,10.0
2344,GERRARD AND PARLIAMENT,10.0
2345,SHERBOURNE AND CARLTON,10.0
2346,CARLTON AND SHERBOURNE,10.0
2347,QUEEN'S QUAY STATION,0.0
2348,KING AND JOE SHUSTER,8.0
2349,GERRARD AND JONES,0.0
2350,CARLTON AND SHERBOURNE,10.0
2351,RUSSELL YARD,20.0
2352,CHARLOTTE LOOP,14.0
2353,CHERRY AND FRONT,20.0
2354,QUEEN AND JARVIS,20.0
2355,DUNDAS WEST STATION,24.0
2356,LESLIE AND COMMISSIONE,0.0
2357,146 JAMESON,14.0
2358,2830 DUNDAS ST W,12.0
2359,SPADINA AND QUEENS QUA,14.0
2360,QUEEN AND RONCESVALLES,7.0
2361,QUEENS QUAY AND SPADIN,10.0
2362,SPADINA AND QUEENS QUA,10.0
2363,GERRARD AND PARLIAMENT,10.0
2364,GERRARD AND ST MATTHEW,10.0
2365,GERRARD AND ST MATTHEW,10.0
2366,GERRARD AND PARLIAMENT,10.0
2367,SPADINA AND QUENS QUAY,16.0
2368,SPADINA AND QUEENS QUA,16.0
2369,SPADINA AND QUEEN,16.0
2370,SPADINA AND COLLEGE,0.0
2371,SPADINA AND KING,0.0
2372,SPADINA AND DUNDAS,0.0
2373,SPADINA AND QUEENS QUA,0.0
2374,SPADINA AT QUEENS QUAY,16.0
2375,SPADINA AT QUEENS QUAY,16.0
2376,SPADINA AND QUEENS QUA,16.0
2377,SPADINA AND QUEENS QUA,16.0
2378,SPADINA AND QUEENS QUA,16.0
2379,SPADINA AND QUEENS QUA,16.0
2380,SPADINA AND QUEENS QUA,0.0
2381,SPADINA AND QUEENS QUA,0.0
2382,SPADINA AND QUEENS QUA,16.0
2383,SPADINA AND QUEEN QUAY,16.0
2384,SPADINA AND QUEENS QUA,0.0
2385,BROADVIEW STATION,13.0
2386,QUEENS QUAY AT SPADINA,16.0
2387,SPADINA AND QUEENS QUA,0.0
2388,SPADINA AND QUEENS QUA,0.0
2389,SPADINA AND QUEENS QUA,0.0
2390,SPADINA AND QUEENS QUA,0.0
2391,QUEENS QUAY AT SPADINA,16.0
2392,QUEENS QUAY AND SPADIN,0.0
2393,MAIN STATION,10.0
2394,SPADINA AND QUEENS QUA,0.0
2395,COXWELL AND GERRARD,10.0
2396,BATHURST AND COLLEGE,14.0
2397,BROADVIEW AND GERRARD,10.0
2398,KING AND DOWLING,12.0
2399,SPADINA AND KING,10.0
2400,QUEEN AND JARVIS,20.0
2401,GERRARD AND BROADVIEW,20.0
2402,RUSSELL YARD,20.0
2403,SPADINA STATION,18.0
2404,ST CLAIR AND DEER PARK,20.0
2405,LONG BRANCH LOOP,0.0
2406,BATHURST AND CARR,20.0
2407,LONGBRANCH LOOP,18.0
2408,MT DENNIS GARAGE,15.0
2409,MT DENNIS GARAGE,15.0
2410,QUEEN AND JOHN,33.0
2411,CARLTON AND PARLIAMENT,16.0
2412,LONGBRANCH LOOP,17.0
2413,BATHURST AND COLLEGE,28.0
2414,BATHURST AND ULSTER,24.0
2415,734 QUEEN ST E,18.0
2416,DUFFERIN AND SPRINGHUR,32.0
2417,FLEET LOOP,20.0
2418,QUEEN AND RONCESVALLES,13.0
2419,840 BATHURST,16.0
2420,FLEET LOOP,19.0
2421,QUEEN AND RONCESVALLES,19.0
2422,ST CLAIR STATION,12.0
2423,BATHURT AND HARBORD,17.0
2424,MAIN STREET STATION,10.0
2425,QUEEN AND RONCESVALLES,14.0
2426,DUNDAS WEST STATION,14.0
2427,DUNDAS WEST STATION,14.0
2428,HUMBER LOOP,18.0
2429,QUEEN AND VICTORIA,16.0
2430,CNE LOOP,14.0
2431,CNE LOOP,14.0
2432,DUNDAS WEST STATION,14.0
2433,CNE LOOP,14.0
2434,CNE LOOP,14.0
2435,CNE LOOP,14.0
2436,CNE LOOP,14.0
2437,CNE LOOP,14.0
2438,GERRARD AND PARLIAMENT,10.0
2439,CNE LOOP,14.0
2440,CNE LOOP,14.0
2441,GERRARD AND PARLIAMENT,10.0
2442,GERRARD AT PARLIAMENT,10.0
2443,BATHURST STATION,14.0
2444,QUUENS QUAY AND HARBOU,14.0
2445,GERRARD AND SACKVILLE,10.0
2446,UNION STATION,14.0
2447,SHAW ST SOUTH OF QUEEN,10.0
2448,GERRARD AND PARLIAMENT,10.0
2449,QUEENS QUAY AND HARBOU,14.0
2450,UNION STATION,14.0
2451,QUEENS QUAY AND HARBOU,14.0
2452,QUEENS QUAY AND FERRY,14.0
2453,QUEENS QUAY AND FERRY,14.0
2454,UNION STATION,14.0
2455,BATHURST AND DUNDAS,14.0
2456,COLLEGE AND LANSDOWNE,18.0
2457,QUEENS QUAY AND LOWER,14.0
2458,WOODBINE AND GERRARD,20.0
2459,QUEENS QUAY AND SPADIN,30.0
2460,QUEEN AND RONCESVALLES,40.0
2461,BRAODVIEW AND QUEEN,40.0
2462,DUNDAS AND DUFFERIN,16.0
2463,HOWARD PARK AND INDIAN,18.0
2464,DUNDAS WEST AND LANSDO,16.0
2465,QUEEN AND JARVIS,14.0
2466,LOWER SPADINA AND QUEE,14.0
2467,CNE LOOP,14.0
2468,KING AND JOHN,19.0
2469,KING AND BAY,20.0
2470,SPADINA AND QUEEN'S QU,14.0
2471,QUEEN AND RONCESVALLES,14.0
2472,DUNDAS WEST STATION,8.0
2473,QUEEN AND YONGE,27.0
2474,QUEEN AND RONCESVALLES,14.0
2475,BROADVIEW STATION,16.0
2476,LOWER SPADINA AND QUEE,14.0
2477,QUEEN AND RONCESVALLES,14.0
2478,MAIN STREET STATION,10.0
2479,DUNDAS WEST AND BLOOR,689.0
2480,DUNDAS AND BLOOR,86.0
2481,QUEEN AND RONCESVALLES,14.0
2482,RONCESVALLES AND QUEEN,0.0
2483,QUEEN AND JARVIS,20.0
2484,BROADVIEW STATION,14.0
2485,QUEEN AND LEE,120.0
2486,QUEEN AND PARLIAMENT,20.0
2487,KING AND SUDBURY,12.0
2488,KING AND SUDBURY,15.0
2489,DISTILLERY LOOP,20.0
2490,RONCESVALLES YARD,18.0
2491,PARKLAWN LOOP,16.0
2492,HIGH PARK LOOP,32.0
2493,HIGH PARK LOOP,33.0
2494,LANSDOWNE AND COLLEGE,16.0
2495,PARLIAMENT AND DUNDAS,8.0
2496,DUNDAS AND PARLIAMENT,10.0
2497,503 KING ST E,12.0
2498,THE QUEENSWAY AND RONC,12.0
2499,DAVENPORT AND LAUGHTON,12.0
2500,QUEEN AND RONCESVALLES,16.0
2501,QUEEN AND RONCESVALLES,16.0
2502,DUFFERIN GATE LOOP,12.0
2503,PARLIAMENT AND DUNDAS,10.0
2504,LOWER SPADINA AND QUEE,14.0
2505,LOWER SPADINA AND QUEE,14.0
2506,QUEEN AND RONCESVALLES,14.0
2507,SPADINA STATION,14.0
