"Neighbourhood","Neighbourhood Id","Combined Indicators","Total Population","Part-Time Employment","Low Income Families"
"Dovercourt-Wallace Emerson-Juncti",93.0,"N/A",36625.0,1748.0,3860.0
"Wychwood",94.0,"N/A",14349.0,770.0,1220.0
"Annex",95.0,"N/A",30526.0,6951.0,3110.0
"Casa Loma",96.0,"N/A",10968.0,1319.0,630.0
"Yonge-St.Clair",97.0,"N/A",12528.0,1221.0,680.0
"Rosedale-Moore Park",98.0,"N/A",20923.0,2435.0,1120.0
"Mount Pleasant East",99.0,"N/A",16775.0,1690.0,760.0
"Yonge-Eglinton",100.0,"N/A",11817.0,2555.0,770.0
"Forest Hill South",101.0,"N/A",10732.0,874.0,550.0
"Forest Hill North",102.0,"N/A",12806.0,290.0,1020.0
"Lawrence Park South",103.0,"N/A",15179.0,510.0,580.0
"Mount Pleasant West",104.0,"N/A",29658.0,4505.0,3220.0
"Lawrence Park North",105.0,"N/A",14607.0,1342.0,590.0
"Humewood-Cedarvale",106.0,"N/A",14365.0,471.0,1190.0
"Oakwood Village",107.0,"N/A",21210.0,500.0,2280.0
"Briar Hill-Belgravia",108.0,"N/A",14257.0,637.0,1670.0
"Caledonia-Fairbank",109.0,"N/A",9955.0,123.0,930.0
"Keelesdale-Eglinton West",110.0,"N/A",11058.0,424.0,1080.0
"Rockcliffe-Smythe",111.0,"N/A",22246.0,699.0,2640.0
"Beechborough-Greenbrook",112.0,"N/A",6577.0,962.0,950.0
"Weston",113.0,"N/A",17992.0,1986.0,2650.0
"Lambton Baby Point",114.0,"N/A",7985.0,102.0,690.0
"Mount Dennis",115.0,"N/A",13593.0,620.0,1930.0
"Steeles",116.0,"N/A",24623.0,1074.0,3520.0
"L'Amoreaux",117.0,"N/A",43993.0,2015.0,5840.0
"Tam O'Shanter-Sullivan",118.0,"N/A",27446.0,1751.0,3100.0
"Wexford/Maryvale",119.0,"N/A",27917.0,4882.0,2670.0
"Clairlea-Birchmount",120.0,"N/A",26984.0,4157.0,2680.0
"Oakridge",121.0,"N/A",13845.0,535.0,2570.0
"Birchcliffe-Cliffside",122.0,"N/A",22291.0,1387.0,1790.0
"Cliffcrest",123.0,"N/A",15935.0,491.0,1290.0
"Kennedy Park",124.0,"N/A",17123.0,532.0,2450.0
"Ionview",125.0,"N/A",13641.0,270.0,1690.0
"Dorset Park",126.0,"N/A",25003.0,2656.0,3010.0
"Bendale",127.0,"N/A",29960.0,6990.0,3170.0
"Agincourt South-Malvern West",128.0,"N/A",23757.0,3851.0,3110.0
"Agincourt North",129.0,"N/A",29113.0,1465.0,3980.0
"Milliken",130.0,"N/A",26572.0,4296.0,3960.0
"Rouge",131.0,"N/A",46496.0,3356.0,3760.0
"Malvern",132.0,"N/A",43794.0,1745.0,5170.0
"Centennial Scarborough",133.0,"N/A",13362.0,331.0,690.0
"Highland Creek",134.0,"N/A",12494.0,540.0,1110.0
"Morningside",135.0,"N/A",17455.0,1467.0,2140.0
"West Hill",136.0,"N/A",27392.0,1441.0,3710.0
"Woburn",137.0,"N/A",53485.0,5041.0,6860.0
"Eglinton East",138.0,"N/A",22776.0,986.0,2930.0
"Scarborough Village",139.0,"N/A",16724.0,714.0,2400.0
"Guildwood",140.0,"N/A",9917.0,364.0,440.0
